generation,sol_idx,emitter_id,mean_throughput,eval_0,eval_1,eval_2,eval_3,eval_4
0,0,0,1.440400,1.210000,1.031000,1.836000,1.089000,2.036000
0,1,0,1.624000,1.638000,1.162000,1.664000,1.232000,2.424000
0,2,0,1.293000,1.575000,1.066000,1.591000,1.080000,1.153000
0,3,0,1.789400,1.536000,1.204000,2.482000,1.481000,2.244000
0,4,0,1.586800,1.196000,1.209000,2.622000,1.772000,1.135000
0,5,0,1.690400,1.579000,1.525000,2.848000,1.310000,1.190000
0,6,0,1.140400,1.110000,0.924000,1.564000,0.957000,1.147000
0,7,0,1.833400,2.491000,1.891000,2.201000,1.198000,1.386000
0,8,0,1.669000,1.121000,1.196000,2.800000,1.276000,1.952000
0,9,0,1.534800,1.178000,1.407000,1.680000,2.499000,0.910000
0,10,0,1.581200,1.386000,1.384000,2.437000,1.185000,1.514000
0,11,0,1.726000,1.138000,1.530000,3.098000,1.563000,1.301000
0,12,0,1.841400,1.545000,2.324000,2.969000,1.005000,1.364000
0,13,0,1.321400,1.437000,1.069000,1.805000,0.871000,1.425000
0,14,0,1.286800,1.138000,1.053000,1.741000,0.881000,1.621000
0,15,0,1.090400,0.874000,0.921000,1.474000,1.047000,1.136000
0,16,0,1.542800,1.435000,1.329000,2.125000,1.085000,1.740000
0,17,0,1.244800,1.292000,1.122000,1.719000,1.000000,1.091000
0,18,0,2.210800,1.545000,1.966000,3.248000,1.485000,2.810000
0,19,0,1.258600,1.219000,1.089000,1.603000,1.089000,1.293000
0,20,1,1.704400,1.393000,1.498000,2.292000,2.049000,1.290000
0,21,1,1.232000,1.255000,1.034000,1.809000,0.982000,1.080000
0,22,1,1.598800,1.400000,1.182000,2.234000,0.995000,2.183000
0,23,1,1.540000,1.312000,1.251000,1.559000,1.820000,1.758000
0,24,1,1.100400,0.872000,0.994000,1.300000,1.290000,1.046000
0,25,1,1.576600,1.069000,1.192000,2.208000,2.093000,1.321000
0,26,1,1.503800,1.479000,1.076000,1.572000,1.175000,2.217000
0,27,1,1.254800,0.837000,0.871000,2.579000,1.196000,0.791000
0,28,1,1.125600,0.912000,0.906000,1.338000,1.117000,1.355000
0,29,1,1.500200,1.080000,1.642000,1.935000,1.196000,1.648000
0,30,1,2.217800,2.805000,1.993000,2.032000,2.305000,1.954000
0,31,1,1.837800,2.727000,1.241000,2.427000,1.076000,1.718000
0,32,1,1.604600,1.541000,2.001000,1.985000,1.108000,1.388000
0,33,1,1.678800,1.513000,0.920000,2.484000,2.149000,1.328000
0,34,1,1.454200,1.079000,1.556000,2.261000,1.088000,1.287000
0,35,1,2.019000,1.830000,2.094000,3.160000,1.304000,1.707000
0,36,1,1.744400,1.965000,2.088000,2.511000,1.224000,0.934000
0,37,1,1.448800,1.399000,1.188000,1.553000,1.813000,1.291000
0,38,1,1.163400,1.193000,0.814000,1.785000,1.092000,0.933000
0,39,1,1.315600,1.437000,1.006000,1.641000,1.232000,1.262000
0,40,2,1.705000,1.390000,1.319000,2.099000,1.241000,2.476000
0,41,2,1.621800,1.868000,0.896000,3.026000,1.246000,1.073000
0,42,2,1.166800,1.269000,1.131000,1.445000,0.841000,1.148000
0,43,2,1.332200,1.609000,0.888000,2.039000,1.038000,1.087000
0,44,2,1.328400,1.711000,0.944000,1.588000,0.995000,1.404000
0,45,2,1.723400,1.798000,1.068000,1.937000,2.406000,1.408000
0,46,2,1.832600,1.898000,1.060000,2.204000,1.296000,2.705000
0,47,2,2.245400,2.553000,1.592000,2.352000,2.267000,2.463000
0,48,2,1.314400,1.054000,1.385000,2.021000,0.897000,1.215000
0,49,2,1.219200,1.064000,1.068000,1.620000,1.339000,1.005000
0,50,2,1.544400,1.302000,1.076000,2.437000,1.516000,1.391000
0,51,2,1.358200,0.901000,1.411000,2.218000,1.052000,1.209000
0,52,2,1.893800,1.527000,1.400000,2.425000,2.209000,1.908000
0,53,2,1.627600,2.344000,1.006000,1.778000,1.303000,1.707000
0,54,2,1.325200,0.978000,1.140000,2.040000,1.383000,1.085000
0,55,2,1.216400,0.923000,0.899000,2.009000,0.871000,1.380000
0,56,2,1.433400,0.848000,1.201000,1.481000,0.910000,2.727000
0,57,2,1.835800,2.120000,1.266000,2.402000,1.984000,1.407000
0,58,2,1.255000,1.133000,1.269000,1.837000,1.036000,1.000000
0,59,2,1.521800,1.033000,1.415000,2.014000,1.582000,1.565000
