generation,sol_idx,emitter_id,mean_throughput,eval_0
0,0,0,5.602000,5.602000
0,1,0,2.854000,2.854000
0,2,0,5.073000,5.073000
0,3,0,2.847000,2.847000
0,4,0,3.937000,3.937000
0,5,0,5.110000,5.110000
0,6,0,2.812000,2.812000
0,7,0,2.802000,2.802000
0,8,0,3.370000,3.370000
0,9,0,5.435000,5.435000
0,10,0,3.522000,3.522000
0,11,0,2.919000,2.919000
0,12,0,2.818000,2.818000
0,13,0,4.805000,4.805000
0,14,0,4.380000,4.380000
0,15,0,5.125000,5.125000
0,16,0,5.473000,5.473000
0,17,0,5.593000,5.593000
0,18,0,3.124000,3.124000
0,19,0,2.872000,2.872000
0,20,1,5.280000,5.280000
0,21,1,2.625000,2.625000
0,22,1,5.186000,5.186000
0,23,1,5.356000,5.356000
0,24,1,3.595000,3.595000
0,25,1,5.422000,5.422000
0,26,1,2.737000,2.737000
0,27,1,5.876000,5.876000
0,28,1,3.489000,3.489000
0,29,1,4.519000,4.519000
0,30,1,4.284000,4.284000
0,31,1,4.811000,4.811000
0,32,1,2.854000,2.854000
0,33,1,5.363000,5.363000
0,34,1,3.072000,3.072000
0,35,1,3.447000,3.447000
0,36,1,5.442000,5.442000
0,37,1,2.829000,2.829000
0,38,1,4.267000,4.267000
0,39,1,2.874000,2.874000
0,40,2,2.576000,2.576000
0,41,2,3.297000,3.297000
0,42,2,5.579000,5.579000
0,43,2,5.030000,5.030000
0,44,2,2.504000,2.504000
0,45,2,5.042000,5.042000
0,46,2,4.891000,4.891000
0,47,2,2.679000,2.679000
0,48,2,2.461000,2.461000
0,49,2,5.351000,5.351000
0,50,2,5.308000,5.308000
0,51,2,4.847000,4.847000
0,52,2,4.731000,4.731000
0,53,2,5.382000,5.382000
0,54,2,4.798000,4.798000
0,55,2,2.552000,2.552000
0,56,2,5.425000,5.425000
0,57,2,5.049000,5.049000
0,58,2,4.483000,4.483000
0,59,2,5.056000,5.056000
0,60,3,2.714000,2.714000
0,61,3,3.096000,3.096000
0,62,3,5.145000,5.145000
0,63,3,5.598000,5.598000
0,64,3,4.604000,4.604000
0,65,3,5.554000,5.554000
0,66,3,5.767000,5.767000
0,67,3,2.889000,2.889000
0,68,3,2.816000,2.816000
0,69,3,5.405000,5.405000
0,70,3,3.176000,3.176000
0,71,3,2.659000,2.659000
0,72,3,4.724000,4.724000
0,73,3,4.869000,4.869000
0,74,3,2.731000,2.731000
0,75,3,2.940000,2.940000
0,76,3,4.653000,4.653000
0,77,3,2.713000,2.713000
0,78,3,5.434000,5.434000
0,79,3,4.570000,4.570000
0,80,4,2.649000,2.649000
0,81,4,3.348000,3.348000
0,82,4,2.386000,2.386000
0,83,4,3.122000,3.122000
0,84,4,5.397000,5.397000
0,85,4,2.605000,2.605000
0,86,4,2.795000,2.795000
